Removed Pin From Net: NetName=Net16Mhz_1 Pin=ATmega16U2-1
Removed Pin From Net: NetName=Net16Mhz_2 Pin=ATmega16U2-2
Removed Pin From Net: NetName=GND Pin=ATmega16U2-3
Removed Pin From Net: NetName=VCC Pin=ATmega16U2-4
Removed Pin From Net: NetName=GND Pin=ATmega16U2-28
Removed Pin From Net: NetName=VCC Pin=ATmega16U2-31
Removed Pin From Net: NetName=VCC Pin=ATmega16U2-32
Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=VCC Pin=C1-2
Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=Net16Mhz_1 Pin=C3-1
Removed Pin From Net: NetName=GND Pin=C3-2
Removed Pin From Net: NetName=Net16Mhz_2 Pin=C4-1
Removed Pin From Net: NetName=GND Pin=C4-2
Removed Pin From Net: NetName=VCC Pin=ISP_16u2-2
Removed Pin From Net: NetName=GND Pin=ISP_16u2-6
Removed Pin From Net: NetName=NetPWR_1 Pin=R6-1
Removed Pin From Net: NetName=VCC Pin=R6-2
Removed Pin From Net: NetName=VCC Pin=UART-1
Removed Pin From Net: NetName=GND Pin=UART-6
Removed Pin From Net: NetName=VCC Pin=USB-1
Removed Member From Class: ClassName=GT_16u2 Member=ATmega16U2
Removed Member From Class: ClassName=GT_16u2 Member=C3
Removed Member From Class: ClassName=GT_16u2 Member=C4
Removed Member From Class: ClassName=GT_16u2 Member=R6
Change Component Footprint: Designator=C1 Old Footprint=CAPC0603(1608)100_L New Footprint=CAPC1608X90X40ML10T20
Change Component Footprint: Designator=C2 Old Footprint=CAPC0603(1608)100_N New Footprint=CAPC1608X90X40ML10T20
Change Component Footprint: Designator=R1 Old Footprint=RESC0603(1608)_N New Footprint=RESC1608X55X25NL10T15
Change Component Footprint: Designator=R2 Old Footprint=RESC0603(1608)_N New Footprint=RESC1608X55X25NL10T15
Change Component Footprint: Designator=RX Old Footprint=WE-150060VS75000_V New Footprint=1206_A
Change Component Footprint: Designator=TX Old Footprint=WE-150060VS75000_V New Footprint=1206_A
Change Component Comment : Designator=R1 Old Comment=22R 5% 0603(1608) New Comment=22R 1% 0603
Change Component Comment : Designator=R2 Old Comment=22R 5% 0603(1608) New Comment=22R 1% 0603
Change Component Comment : Designator=RX Old Comment=150060VS75000 New Comment=150120GS75000
Change Component Comment : Designator=TX Old Comment=150060VS75000 New Comment=150120GS75000
Change Component Comment : Designator=C2 Old Comment=CAP 1uF 50V 0603(1608) New Comment=22pF 50V 0603
Change Component Comment : Designator=C1 Old Comment=CAP 100nF 6.3V 0603(1608) New Comment=22pF 50V 0603
Change Managed Component Library Link : Designator=16MHZ Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=E1F6B393-3CCB-4E74-9C6B-9D3A982B05C2 Old RevisionGUID= New RevisionGUID=FF23DFA6-4F24-4717-977B-929664D617A7
Change Managed Component Library Link : Designator=C1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1DD4F9EC-1AB6-4170-9A38-0AFD53CA2667 Old RevisionGUID= New RevisionGUID=28F789EB-81FD-4765-B71A-276ECE5AAC3E
Change Managed Component Library Link : Designator=C2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1DD4F9EC-1AB6-4170-9A38-0AFD53CA2667 Old RevisionGUID= New RevisionGUID=28F789EB-81FD-4765-B71A-276ECE5AAC3E
Change Managed Component Library Link : Designator=PWR Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1E49742B-4E3B-4A0D-A919-190BDDA81806 Old RevisionGUID= New RevisionGUID=E01B52E4-0A6A-4965-8702-3EEEF627EE7C
Change Managed Component Library Link : Designator=R1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=CBF382B5-F79D-4C9A-8433-F26104C285EE Old RevisionGUID= New RevisionGUID=61EE0835-DAD3-494A-A91E-413904ACE297
Change Managed Component Library Link : Designator=R2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=CBF382B5-F79D-4C9A-8433-F26104C285EE Old RevisionGUID= New RevisionGUID=61EE0835-DAD3-494A-A91E-413904ACE297
Change Managed Component Library Link : Designator=R3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D6FF6A2E-237B-4D32-86D1-1B9665B5CB39 Old RevisionGUID= New RevisionGUID=5919DCB2-6C32-4D73-A0F5-E31FD5A5471D
Change Managed Component Library Link : Designator=R4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=77196DFD-07FC-4832-870F-46AC4696B664 Old RevisionGUID= New RevisionGUID=05C57F62-3278-43EE-8154-3D5C75F89934
Change Managed Component Library Link : Designator=R5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=77196DFD-07FC-4832-870F-46AC4696B664 Old RevisionGUID= New RevisionGUID=05C57F62-3278-43EE-8154-3D5C75F89934
Change Managed Component Library Link : Designator=RX Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=BFAEAF46-64D6-4F88-A2DB-1F3E5014C5FB Old RevisionGUID= New RevisionGUID=F8D53525-D37B-4A79-9547-6691E9AEC5D9
Change Managed Component Library Link : Designator=TX Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=BFAEAF46-64D6-4F88-A2DB-1F3E5014C5FB Old RevisionGUID= New RevisionGUID=F8D53525-D37B-4A79-9547-6691E9AEC5D9
Change Managed Component Library Link : Designator=UART Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=33802D42-A73F-4FA2-AD8E-4F001AA1C6B2 Old RevisionGUID= New RevisionGUID=31D4FA92-CF1E-48EC-97B5-E0D4618BBD8A
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAPC0603(1608)100_L"; UniqueID = "\QYXXOBCG" ("\QYXXOBCG")
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 13, 05/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\OQBIFWQL" ("\OQBIFWQL")
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 13, 05/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "RESC0603(1608)_N"; UniqueID = "\VYTBBONC" ("\VYTBBONC")
Change component parameters (AddParameter): Name = "Case\Package"; Value = "SIP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "19.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "18.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Input Voltage"; Value = "1.4 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "100 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Ouput Current"; Value = "8 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-25 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "8 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "RESC0603(1608)_N"; UniqueID = "\VASWKYNZ" ("\VASWKYNZ")
Change component parameters (AddParameter): Name = "Case\Package"; Value = "SIP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "19.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "18.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Input Voltage"; Value = "1.4 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "100 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Ouput Current"; Value = "8 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-25 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "8 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
